filename,title,type,category,description,tags,source,license,url
amethyst_cluster_01.webp,Amethyst Cluster,crystal,classic,Deep purple quartz geode cluster with sharp terminations.,"amethyst, quartz, purple, geode, cluster",Unsplash,CC0,https://unsplash.com/photos/ON0jlgkd8R0
pyrite_cube_01.webp,Pyrite Cube Cluster,mineral,classic,Metallic iron sulfide crystals with cubic geometry (Fool's Gold).,"pyrite, gold, metallic, cubic, sulfide",Unsplash,CC0,https://unsplash.com/photos/Ay-8VsuG_UA
bismuth_hopper_01.webp,Bismuth Crystal,metal,classic,Synthetic bismuth exhibiting staircase 'hopper' crystal structure and rainbow oxidation.,"bismuth, rainbow, geometric, iridescent, metal",Unsplash,CC0,https://unsplash.com/photos/fOxeT3Wt-9c
malachite_texture_01.webp,Malachite Banding,texture,classic,Polished surface showing deep green botryoidal banding patterns.,"malachite, green, pattern, banded, copper",Unsplash,CC0,https://unsplash.com/photos/vIdRMp8IpO0
native_gold_01.webp,Native Gold Nugget,metal,classic,Raw native gold nugget with textured surface.,"gold, metal, nugget, precious, yellow",Unsplash,CC0,https://unsplash.com/photos/eLeXwRx4ALs
fluorite_raw_01.webp,Raw Fluorite,crystal,classic,Rough fluorite specimen showing purple and white zoning.,"fluorite, purple, white, raw, halide",Unsplash,CC0,https://unsplash.com/photos/BVjRFkvG4Kg
quartz_clear_01.webp,Clear Quartz Points,crystal,classic,Pristine clear quartz points rising from a dark matrix.,"quartz, clear, points, cluster, silica",Unsplash,CC0,https://unsplash.com/photos/V0l3kUa6aBs
obsidian_shard_01.webp,Obsidian Shard,rock,classic,Black volcanic glass fragment with conchoidal fracture.,"obsidian, black, glass, volcanic, sharp",Unsplash,CC0,https://unsplash.com/photos/XdBlNr0WHJY
amethyst_geode_01.webp,Amethyst Geode,crystal,classic,Large split geode revealing deep violet amethyst interior.,"amethyst, geode, cave, violet, large",Unsplash,CC0,https://unsplash.com/photos/VPX6eeOI5s4
calcite_orange_01.webp,Orange Calcite,mineral,classic,"Waxy, opaque orange calcite chunk.","calcite, orange, waxy, soft, carbonate",Unsplash,CC0,https://unsplash.com/s/photos/orange-calcite
labradorite_flash_01.webp,Labradorite Flash,mineral,classic,Polished feldspar showing blue and gold labradorescence.,"labradorite, flash, blue, magic, feldspar",Unsplash Search,Check Source,https://unsplash.com/s/photos/labradorite-macro
opal_boulder_01.webp,Boulder Opal,gem,classic,Ironstone matrix with veins of iridescent precious opal.,"opal, iridescent, rainbow, australian, gem",Unsplash Search,Check Source,https://unsplash.com/s/photos/opal-stone
rhodochrosite_banded_01.webp,Rhodochrosite,mineral,classic,Pink manganese carbonate with distinct white zigzag banding.,"rhodochrosite, pink, banded, rose, soft",Unsplash Search,Check Source,https://unsplash.com/s/photos/rhodochrosite
